ReadName,Mapping_x,MapStart_x,MapEnd_x,Strand,Mapping_y,MapStart_y,MapQual,ReadLength,MapEnd_y,StrandStatus,Region of Interest,StrandDirection
2bede848-3a31-46fc-ae10-517d7f2d9fe4,pFB2,66,224,rev,pFB2,66,60,162,228,Lead,Others,revLead
a0da285d-3613-478d-bef3-b852eed9b58e,pFB2,69,193,fwd,pFB2,69,26,131,200,Lag,Others,fwdLag
bc4f5701-2ea4-48ba-b9ce-65d1b986a366,pFB2,72,214,fwd,pFB2,72,60,146,218,Lag,Others,fwdLag
cffd2c6d-7aac-43bd-bb9b-7cc842284f22,pFB2,78,227,fwd,pFB2,78,60,148,226,Lag,Others,fwdLag
ae96cba8-5fe8-4d8a-a2cc-09136ba2a52b,pFB2,90,218,fwd,pFB2,90,60,129,219,Lag,Others,fwdLag
c05ff15e-ceab-4865-8a0a-2d231b7beb99,pFB2,102,226,rev,pFB2,102,60,147,249,Lead,Others,revLead
56920e2b-717f-4ade-80a8-c72566f858a3,pFB2,132,292,fwd,pFB2,132,60,167,299,Lag,Others,fwdLag
15661337-5786-40d6-bb13-f82bc2d98683,pFB2,160,321,rev,pFB2,160,24,165,325,Lead,Others,revLead
d744e1bc-3fc0-4ec5-9ce5-50c2e9a9588e,pFB2,171,321,rev,pFB2,171,49,150,321,Lead,Others,revLead
bb24f5b1-40c0-48a2-830a-c1df528caf71,pFB2,179,320,fwd,pFB2,179,60,150,329,Lag,Others,fwdLag
ecf2ae18-8b01-4f1f-a893-1e72c20f536d,pFB2,179,308,fwd,pFB2,179,60,133,312,Lag,Others,fwdLag
714e38ca-d3c6-40ce-9732-58ebf89e655e,pFB2,180,288,rev,pFB2,180,60,144,324,Lead,Others,revLead
c3966266-0fcc-47d5-ada8-ad5ba0e6fc45,pFB2,210,365,fwd,pFB2,210,60,161,371,Lag,Others,fwdLag
b0645370-066a-4ec3-911d-99a17fa35e79,pFB2,213,363,fwd,pFB2,213,60,152,365,Lag,Others,fwdLag
65fe81df-56ef-481f-ad7c-ac986e87d646,pFB2,217,375,fwd,pFB2,217,60,157,374,Lag,Others,fwdLag
e59c579e-55fb-44df-955e-5937a8593f60,pFB2,224,376,rev,pFB2,224,60,152,376,Lead,Others,revLead
e650c298-98ba-4d51-a982-b309a90e00fa,pFB2,227,385,rev,pFB2,227,60,161,388,Lead,Others,revLead
043fe0af-7240-494b-8db9-55641e13d1f4,pFB2,227,379,rev,pFB2,227,60,154,381,Lead,Others,revLead
31c9d019-15a4-408b-bdd6-74e41a2a1ca6,pFB2,249,395,rev,pFB2,249,60,145,394,Lead,Others,revLead
14fc594f-52c2-48f4-8dde-880961bb7012,pFB2,260,397,rev,pFB2,260,60,146,406,Lead,Others,revLead
9493b044-f213-4893-989d-10c74107660f,pFB2,261,414,rev,pFB2,261,51,146,407,Lead,Others,revLead
2c8b3c7e-e738-4eef-b787-3f9a41d1ab5b,pFB2,263,398,rev,pFB2,263,60,131,394,Lead,Others,revLead
22133b5c-1b94-458f-b3be-083ab87ae7c3,pFB2,263,409,rev,pFB2,263,60,145,408,Lead,Others,revLead
ae246d78-7579-48b8-bcb1-6fb115d6ad23,pFB2,264,407,rev,pFB2,264,27,136,400,Lead,Others,revLead
75a6fe53-5312-4d44-8a12-d769eae5991e,pFB2,267,435,fwd,pFB2,267,60,162,429,Lag,Others,fwdLag
f8fec76d-06dd-41a2-8499-986bf17847fc,pFB2,271,416,fwd,pFB2,271,40,155,426,Lag,Others,fwdLag
9acbcdd7-b3d4-4614-864f-7683042f93b6,pFB2,271,399,fwd,pFB2,271,36,130,401,Lag,Others,fwdLag
90a01bdd-429d-47b5-83cc-9cc920d732cf,pFB2,273,417,fwd,pFB2,273,60,150,423,Lag,Others,fwdLag
9284a698-cee9-471a-9a51-78f9820a9123,pFB2,282,438,rev,pFB2,282,60,158,440,Lead,Others,revLead
5cd2534d-fb9e-4fde-a8d9-4651893f7615,pFB2,282,422,rev,pFB2,282,25,131,413,Lead,Others,revLead
414f7d4d-8519-4988-ad4d-a600ec7a83c3,pFB2,287,403,rev,pFB2,287,57,125,412,Lead,Others,revLead
eefc6318-445e-4b49-8dea-0bc25afe7e6f,pFB2,288,419,fwd,pFB2,288,60,138,426,Lag,Others,fwdLag
b7e00208-9880-4ffb-bc73-f778c455210a,pFB2,293,438,fwd,pFB2,293,60,153,446,Lag,Others,fwdLag
04ae0ebd-82cf-48fe-8f56-4513db1191b4,pFB2,301,436,fwd,pFB2,301,60,152,453,Lag,Others,fwdLag
c740400e-f370-42da-b573-ce5b4fb1e141,pFB2,302,443,fwd,pFB2,302,60,139,441,Lag,Others,fwdLag
bcaff0d5-99eb-4402-8ed9-3930622a7e4c,pFB2,302,466,rev,pFB2,302,60,162,464,Lead,Others,revLead
f17baafc-6197-4d86-977c-b584180a11f7,pFB2,312,466,rev,pFB2,312,60,154,466,Lead,Others,revLead
104f7b25-f7f0-46a2-b822-a18f8d020807,pFB2,313,449,fwd,pFB2,313,58,156,469,Lag,Others,fwdLag
900743e1-56d5-43eb-843c-1996fd26623c,pFB2,316,439,fwd,pFB2,316,60,132,448,Lag,Others,fwdLag
c694a77d-2dc4-4fd1-ac09-0d43cc62ecaa,pFB2,316,477,fwd,pFB2,316,60,158,474,Lag,Others,fwdLag
17d1f6e8-2ffc-44bd-abd7-105d8907dd6a,pFB2,314,467,rev,pFB2,314,60,161,475,Lead,Others,revLead
624a60f3-b85b-4d70-bf90-fc1440b25def,pFB2,317,443,fwd,pFB2,317,60,123,440,Lag,Others,fwdLag
2e8c5392-51a9-4c58-b1c7-9e44d42d6c19,pFB2,322,443,fwd,pFB2,322,60,123,445,Lag,Others,fwdLag
771b3e9c-d655-4896-9967-088d2cd19486,pFB2,323,489,rev,pFB2,323,60,161,484,Lead,Others,revLead
2d7af138-35fc-41e6-9f01-8c54ca84c296,pFB2,327,482,fwd,pFB2,327,60,154,481,Lag,Others,fwdLag
217626ae-f61c-4cb5-b2d7-2ea0aafc2982,pFB2,333,498,rev,pFB2,333,60,161,494,Lead,Others,revLead
263b766e-164c-4372-8f02-d2953ddabdfa,pFB2,335,499,rev,pFB2,335,60,164,499,Lead,Others,revLead
a06dbf2f-1e92-48bf-ad07-9d0d8e79725f,pFB2,338,477,fwd,pFB2,338,27,139,477,Lag,Others,fwdLag
2859240f-a9c6-42cd-a7b7-af8dd252f783,pFB2,347,489,fwd,pFB2,347,60,142,489,Lag,Others,fwdLag
1541b381-94c8-499f-b02e-4f5302565ce1,pFB2,350,504,fwd,pFB2,350,22,144,494,Lag,Others,fwdLag
8c89736e-5bb4-424d-9819-4cc7957a68c5,pFB2,351,505,rev,pFB2,351,60,151,502,Lead,Others,revLead
